trace_name,chunk_idx,time_rel_sec,probability,packet_rms,cumulative_rms,zne_mean,embedding_delta_norm,p_chunk,threshold,confirm_chunks,trigger_start_chunk,trigger_available_chunk
IWT0160112022202,52,12.36,1.5024949e-05,8.891726600257261,4.105562349871551,0.45644164085388184,2.39681099854644,27,0.55,2,27,28
IWT0160112022202,53,12.86,1.7139173e-05,8.642621092092782,4.233998058926574,0.6317228078842163,2.5676825822609666,27,0.55,2,27,28
IWT0160112022202,54,13.36,2.0980677e-05,13.306205072393748,4.562891885696002,0.3777104914188385,3.094375788784641,27,0.55,2,27,28
IWT0160112022202,55,13.86,1.761228e-05,14.37511468672713,4.913071035671127,0.35952839255332947,2.0906851806501257,27,0.55,2,27,28
IWT0160112022202,56,14.36,1.4375799e-05,13.644215096558796,5.194307879342869,0.3881593346595764,3.0591341835006234,27,0.55,2,27,28
IWT0160112022202,57,14.86,1.3616261e-05,19.30023782216319,5.7391678143595195,0.2179184854030609,3.857831098397472,27,0.55,2,27,28
IWT0160112022202,58,15.36,1.5718153e-05,28.591427231036555,6.799646611938694,0.2295404076576233,3.5487574881851605,27,0.55,2,27,28
IWT0160112022202,59,15.86,1.4917653e-05,28.991648541794273,7.71188707338508,0.13140155375003815,1.2484549210425306,27,0.55,2,27,28
IWT0160112022202,60,16.36,1.4019506e-05,34.12008028221117,8.808129639409385,0.14687757194042206,1.6529367274951219,27,0.55,2,27,28
IWT0160112022202,61,16.86,1.2940613e-05,24.43011125575545,9.271359252742581,0.2252865433692932,2.419085177028643,27,0.55,2,27,28
IWT0160112022202,62,17.36,1.3197074e-05,19.67022534519626,9.525504705640719,0.5102223753929138,4.36963798918018,27,0.55,2,27,28
IWT0160112022202,63,17.86,1.1405745e-05,25.04062612658167,9.95564622332301,0.30250176787376404,3.7874975934413384,27,0.55,2,27,28
IWT0160112022202,64,18.36,1.117028e-05,21.558531268010768,10.234273745055502,0.2673971951007843,2.3469562160434014,27,0.55,2,27,28
IWT0160112022202,65,18.86,1.0984965e-05,22.36961851008088,10.523079377811879,0.10931415855884552,1.9305501222022572,27,0.55,2,27,28
