scenario,station_code,segment_id,trace_name,event_name,relative_chunk,local_chunk,injection_chunk,prob,is_injection_chunk,is_post_injection_2pkt
impulse_x20,AIC010,168,AIC0100208110756,208110756,-4,2,6,0.0234563220292329,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,-3,3,6,0.0265213828533887,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,-2,4,6,0.0168745927512645,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,-1,5,6,0.013341337442398,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,0,6,6,0.0154940653592348,True,True
impulse_x20,AIC010,168,AIC0100208110756,208110756,1,7,6,0.0246391110122203,False,True
impulse_x20,AIC010,168,AIC0100208110756,208110756,2,8,6,0.0423315204679966,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,3,9,6,0.0720360651612281,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,4,10,6,0.1295474767684936,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,5,11,6,0.1979233920574188,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,6,12,6,0.2864936590194702,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,7,13,6,0.3080181777477264,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,8,14,6,0.3390595912933349,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,9,15,6,0.3579266965389251,False,False
impulse_x20,AIC010,168,AIC0100208110756,208110756,10,16,6,0.3850740492343902,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,-8,7,15,0.1141378656029701,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,-7,8,15,0.1023429632186889,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,-6,9,15,0.0552955530583858,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,-5,10,15,0.0395896211266517,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,-4,11,15,0.0718377530574798,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,-3,12,15,0.0435208566486835,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,-2,13,15,0.0595375932753086,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,-1,14,15,0.0394093208014965,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,0,15,15,0.1123810857534408,True,True
impulse_x20,AIC010,179,AIC0109804222028,9804222028,1,16,15,0.0536727011203765,False,True
impulse_x20,AIC010,179,AIC0109804222028,9804222028,2,17,15,0.037812490016222,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,3,18,15,0.0346012897789478,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,4,19,15,0.0398566909134388,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,5,20,15,0.0339459814131259,False,False
impulse_x20,AIC010,179,AIC0109804222028,9804222028,6,21,15,0.0285216961055994,False,False
impulse_x20,AIC011,450,AIC0110101061148,101061148,-5,2,7,0.0073096463456749,False,False
impulse_x20,AIC011,450,AIC0110101061148,101061148,-4,3,7,0.0369604602456092,False,False
impulse_x20,AIC011,450,AIC0110101061148,101061148,-3,4,7,0.0328037925064563,False,False
impulse_x20,AIC011,450,AIC0110101061148,101061148,-2,5,7,0.0333416201174259,False,False
impulse_x20,AIC011,450,AIC0110101061148,101061148,-1,6,7,0.6949283480644226,False,False
impulse_x20,AIC011,450,AIC0110101061148,101061148,0,7,7,0.1499131917953491,True,True
impulse_x20,AIC011,180,AIC0119804222028,9804222028,-8,3,11,0.0376241616904735,False,False
impulse_x20,AIC011,180,AIC0119804222028,9804222028,-7,4,11,0.0335392206907272,False,False
impulse_x20,AIC011,180,AIC0119804222028,9804222028,-6,5,11,0.0310997478663921,False,False
impulse_x20,AIC011,180,AIC0119804222028,9804222028,-5,6,11,0.0267317481338977,False,False
impulse_x20,AIC011,180,AIC0119804222028,9804222028,-4,7,11,0.0231897719204425,False,False
impulse_x20,AIC011,180,AIC0119804222028,9804222028,-3,8,11,0.023317402228713,False,False
impulse_x20,AIC011,180,AIC0119804222028,9804222028,-2,9,11,0.0199686847627162,False,False
impulse_x20,AIC011,180,AIC0119804222028,9804222028,-1,10,11,0.0224021151661872,False,False
impulse_x20,AIC011,180,AIC0119804222028,9804222028,0,11,11,0.0190939623862504,True,True
impulse_x20,AIC011,180,AIC0119804222028,9804222028,1,12,11,0.0163230914622545,False,True
impulse_x20,AIC012,443,AIC0120101061148,101061148,-8,9,17,0.0315395556390285,False,False
impulse_x20,AIC012,443,AIC0120101061148,101061148,-7,10,17,0.0313909240067005,False,False
impulse_x20,AIC012,443,AIC0120101061148,101061148,-6,11,17,0.0286150891333818,False,False
impulse_x20,AIC012,443,AIC0120101061148,101061148,-5,12,17,0.0265666935592889,False,False
impulse_x20,AIC012,443,AIC0120101061148,101061148,-4,13,17,0.0241989120841026,False,False
impulse_x20,AIC012,443,AIC0120101061148,101061148,-3,14,17,0.0243051070719957,False,False
impulse_x20,AIC012,443,AIC0120101061148,101061148,-2,15,17,0.0197002124041318,False,False
impulse_x20,AIC012,443,AIC0120101061148,101061148,-1,16,17,0.0213096067309379,False,False
impulse_x20,AIC012,443,AIC0120101061148,101061148,0,17,17,0.1580640226602554,True,True
impulse_x20,AIC012,443,AIC0120101061148,101061148,1,18,17,0.0284875743091106,False,True
impulse_x20,AIC012,443,AIC0120101061148,101061148,2,19,17,0.0218480508774518,False,False
impulse_x20,AIC012,443,AIC0120101061148,101061148,3,20,17,0.0161112248897552,False,False
impulse_x20,AIC012,443,AIC0120101061148,101061148,4,21,17,0.0159894414246082,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,-8,11,19,0.4064545035362243,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,-7,12,19,0.4875989258289337,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,-6,13,19,0.485188364982605,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,-5,14,19,0.352057933807373,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,-4,15,19,0.3426154553890228,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,-3,16,19,0.2738701105117798,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,-2,17,19,0.1916708499193191,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,-1,18,19,0.1886644512414932,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,0,19,19,0.1516038477420807,True,True
impulse_x20,AIC012,166,AIC0120208110756,208110756,1,20,19,0.086577296257019,False,True
impulse_x20,AIC012,166,AIC0120208110756,208110756,2,21,19,0.074192389845848,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,3,22,19,0.1121548563241958,False,False
impulse_x20,AIC012,166,AIC0120208110756,208110756,4,23,19,0.0768024921417236,False,False
impulse_x20,AIC013,173,AIC0130208110756,208110756,-8,14,22,0.0242288615554571,False,False
impulse_x20,AIC013,173,AIC0130208110756,208110756,-7,15,22,0.0240242052823305,False,False
impulse_x20,AIC013,173,AIC0130208110756,208110756,-6,16,22,0.0197880268096923,False,False
impulse_x20,AIC013,173,AIC0130208110756,208110756,-5,17,22,0.0181659497320652,False,False
impulse_x20,AIC013,173,AIC0130208110756,208110756,-4,18,22,0.0178994238376617,False,False
impulse_x20,AIC013,173,AIC0130208110756,208110756,-3,19,22,0.0173511505126953,False,False
impulse_x20,AIC013,173,AIC0130208110756,208110756,-2,20,22,0.0215186011046171,False,False
impulse_x20,AIC013,173,AIC0130208110756,208110756,-1,21,22,0.020512118935585,False,False
impulse_x20,AIC013,173,AIC0130208110756,208110756,0,22,22,0.0275056436657905,True,True
impulse_x20,AIC015,165,AIC0150208110756,208110756,-7,2,9,0.0045879278331995,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,-6,3,9,0.0119299413636326,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,-5,4,9,0.0292354226112365,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,-4,5,9,0.0411247126758098,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,-3,6,9,0.0532150566577911,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,-2,7,9,0.0791342109441757,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,-1,8,9,0.051808938384056,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,0,9,9,0.0792941823601722,True,True
impulse_x20,AIC015,165,AIC0150208110756,208110756,1,10,9,0.1866627633571624,False,True
impulse_x20,AIC015,165,AIC0150208110756,208110756,2,11,9,0.0707689300179481,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,3,12,9,0.0593888647854328,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,4,13,9,0.0396251454949379,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,5,14,9,0.0366674102842807,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,6,15,9,0.0337751731276512,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,7,16,9,0.0345877297222614,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,8,17,9,0.0367069467902183,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,9,18,9,0.0273667518049478,False,False
impulse_x20,AIC015,165,AIC0150208110756,208110756,10,19,9,0.022571237757802,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,-8,10,18,0.043530561029911,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,-7,11,18,0.0393397100269794,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,-6,12,18,0.0460286065936088,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,-5,13,18,0.0342999026179313,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,-4,14,18,0.0275287255644798,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,-3,15,18,0.0352348908782005,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,-2,16,18,0.0284427125006914,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,-1,17,18,0.0342301800847053,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,0,18,18,0.0272939801216125,True,True
impulse_x20,AIC017,169,AIC0170208110756,208110756,1,19,18,0.0222971588373184,False,True
impulse_x20,AIC017,169,AIC0170208110756,208110756,2,20,18,0.0254753157496452,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,3,21,18,0.0237329937517642,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,4,22,18,0.0239161867648363,False,False
impulse_x20,AIC017,169,AIC0170208110756,208110756,5,23,18,0.0630416348576545,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,-4,2,6,0.0039887451566755,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,-3,3,6,0.011272651143372,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,-2,4,6,0.0219112355262041,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,-1,5,6,0.0307919103652238,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,0,6,6,0.038627590984106,True,True
impulse_x20,AKT001,218,AKT0010112022202,112022202,1,7,6,0.0377367250621318,False,True
impulse_x20,AKT001,218,AKT0010112022202,112022202,2,8,6,0.0424492396414279,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,3,9,6,0.0383541025221347,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,4,10,6,0.0374685823917388,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,5,11,6,0.037319503724575,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,6,12,6,0.0346122644841671,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,7,13,6,0.0319338366389274,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,8,14,6,0.0290090255439281,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,9,15,6,0.0288057215511798,False,False
impulse_x20,AKT001,218,AKT0010112022202,112022202,10,16,6,0.0263212863355875,False,False
impulse_x20,AKT004,235,AKT0040112022202,112022202,-8,2,10,0.0053902119398117,False,False
impulse_x20,AKT004,235,AKT0040112022202,112022202,-7,3,10,0.01378202624619,False,False
impulse_x20,AKT004,235,AKT0040112022202,112022202,-6,4,10,0.0287418272346258,False,False
